PERFUME_ID,OCCASION,ratio,LOAD_DT
8344,Business,15.87,2026-01-19 08:38:20
8344,Evening,15.87,2026-01-19 08:38:20
8348,Daily,25.0,2026-01-19 08:38:20
8348,Sport,25.0,2026-01-19 08:38:20
8348,Leisure,25.0,2026-01-19 08:38:20
8348,Business,25.0,2026-01-19 08:38:20
8351,Leisure,23.26,2026-01-19 08:38:20
8351,Business,23.26,2026-01-19 08:38:20
8351,Daily,20.93,2026-01-19 08:38:20
8352,Leisure,29.27,2026-01-19 08:38:20
8352,Daily,21.95,2026-01-19 08:38:20
8352,Business,17.07,2026-01-19 08:38:20
8353,Daily,33.33,2026-01-19 08:38:20
8353,Sport,33.33,2026-01-19 08:38:20
8353,Leisure,33.33,2026-01-19 08:38:20
8354,Leisure,25.86,2026-01-19 08:38:20
8354,Business,25.86,2026-01-19 08:38:20
8354,Daily,18.97,2026-01-19 08:38:20
8356,Daily,24.0,2026-01-19 08:38:20
8356,Business,24.0,2026-01-19 08:38:20
8356,Leisure,22.0,2026-01-19 08:38:20
8357,Leisure,25.0,2026-01-19 08:38:20
8357,Night Out,25.0,2026-01-19 08:38:20
8357,Evening,25.0,2026-01-19 08:38:20
8359,Evening,25.0,2026-01-19 08:38:20
8359,Leisure,22.22,2026-01-19 08:38:20
8359,Night Out,22.22,2026-01-19 08:38:20
8359,Business,16.67,2026-01-19 08:38:20
8360,Leisure,33.33,2026-01-19 08:38:20
8360,Night Out,33.33,2026-01-19 08:38:20
8360,Evening,33.33,2026-01-19 08:38:20
8361,Night Out,27.27,2026-01-19 08:38:20
8361,Evening,27.27,2026-01-19 08:38:20
8361,Daily,18.18,2026-01-19 08:38:20
8361,Leisure,18.18,2026-01-19 08:38:20
8362,Leisure,24.49,2026-01-19 08:38:20
8362,Business,24.49,2026-01-19 08:38:20
8362,Daily,22.45,2026-01-19 08:38:20
8367,Leisure,26.19,2026-01-19 08:38:20
8367,Business,23.81,2026-01-19 08:38:20
8367,Daily,21.43,2026-01-19 08:38:20
8367,Sport,19.05,2026-01-19 08:38:20
8369,Daily,25.0,2026-01-19 08:38:20
8369,Sport,25.0,2026-01-19 08:38:20
8369,Leisure,25.0,2026-01-19 08:38:20
8369,Business,25.0,2026-01-19 08:38:20
8375,Night Out,25.0,2026-01-19 08:38:20
8375,Evening,25.0,2026-01-19 08:38:20
8375,Leisure,22.5,2026-01-19 08:38:20
8375,Daily,17.5,2026-01-19 08:38:20
8379,Daily,25.45,2026-01-19 08:38:20
8379,Leisure,25.45,2026-01-19 08:38:20
8379,Business,21.82,2026-01-19 08:38:20
8383,Daily,28.07,2026-01-19 08:38:20
8383,Leisure,26.32,2026-01-19 08:38:20
8383,Business,24.56,2026-01-19 08:38:20
8387,Daily,29.27,2026-01-19 08:38:20
8387,Leisure,26.83,2026-01-19 08:38:20
8387,Business,21.95,2026-01-19 08:38:20
8391,Business,40.0,2026-01-19 08:38:20
8391,Daily,36.0,2026-01-19 08:38:20
8391,Leisure,24.0,2026-01-19 08:38:20
8394,Night Out,27.27,2026-01-19 08:38:20
8394,Evening,27.27,2026-01-19 08:38:20
8394,Leisure,22.73,2026-01-19 08:38:20
8398,Daily,22.22,2026-01-19 08:38:20
8398,Leisure,22.22,2026-01-19 08:38:20
8398,Night Out,18.52,2026-01-19 08:38:20
8398,Business,18.52,2026-01-19 08:38:20
8398,Evening,18.52,2026-01-19 08:38:20
8399,Daily,22.28,2026-01-19 08:38:20
8399,Leisure,21.98,2026-01-19 08:38:20
8399,Evening,20.53,2026-01-19 08:38:20
8399,Night Out,18.4,2026-01-19 08:38:20
8399,Business,16.81,2026-01-19 08:38:20
8402,Leisure,26.67,2026-01-19 08:38:20
8402,Night Out,26.67,2026-01-19 08:38:20
8402,Evening,26.67,2026-01-19 08:38:20
8403,Daily,28.24,2026-01-19 08:38:20
8403,Leisure,24.7,2026-01-19 08:38:20
8403,Business,21.16,2026-01-19 08:38:20
8406,Daily,23.53,2026-01-19 08:38:20
8406,Leisure,23.53,2026-01-19 08:38:20
8406,Night Out,23.53,2026-01-19 08:38:20
8406,Evening,17.65,2026-01-19 08:38:20
8407,Evening,33.33,2026-01-19 08:38:20
8407,Night Out,30.37,2026-01-19 08:38:20
8407,Leisure,20.32,2026-01-19 08:38:20
8408,Leisure,29.75,2026-01-19 08:38:20
8408,Daily,27.85,2026-01-19 08:38:20
8408,Business,20.89,2026-01-19 08:38:20
8411,Daily,23.5,2026-01-19 08:38:20
8411,Leisure,22.14,2026-01-19 08:38:20
8411,Business,16.5,2026-01-19 08:38:20
8411,Evening,15.34,2026-01-19 08:38:20
8412,Evening,33.33,2026-01-19 08:38:20
8412,Night Out,27.78,2026-01-19 08:38:20
8412,Leisure,16.67,2026-01-19 08:38:20
8414,Leisure,27.27,2026-01-19 08:38:20
8414,Night Out,24.24,2026-01-19 08:38:20
8414,Daily,15.15,2026-01-19 08:38:20
8414,Evening,15.15,2026-01-19 08:38:20
8415,Leisure,25.71,2026-01-19 08:38:20
8415,Daily,23.88,2026-01-19 08:38:20
8415,Business,19.39,2026-01-19 08:38:20
8416,Leisure,25.77,2026-01-19 08:38:20
8416,Daily,24.74,2026-01-19 08:38:20
8416,Business,21.65,2026-01-19 08:38:20
8416,Evening,18.56,2026-01-19 08:38:20
8418,Leisure,35.71,2026-01-19 08:38:20
8418,Night Out,28.57,2026-01-19 08:38:20
8419,Leisure,23.85,2026-01-19 08:38:20
8419,Daily,22.33,2026-01-19 08:38:20
8419,Business,18.51,2026-01-19 08:38:20
8421,Leisure,27.0,2026-01-19 08:38:20
8421,Daily,25.0,2026-01-19 08:38:20
8421,Business,22.0,2026-01-19 08:38:20
8422,Leisure,29.41,2026-01-19 08:38:20
8422,Daily,20.59,2026-01-19 08:38:20
8422,Evening,17.65,2026-01-19 08:38:20
8423,Leisure,24.44,2026-01-19 08:38:20
8423,Daily,23.33,2026-01-19 08:38:20
8423,Business,20.89,2026-01-19 08:38:20
8425,Leisure,22.83,2026-01-19 08:38:20
8425,Evening,22.83,2026-01-19 08:38:20
8425,Night Out,21.74,2026-01-19 08:38:20
8425,Daily,17.39,2026-01-19 08:38:20
8425,Business,15.22,2026-01-19 08:38:20
8426,Leisure,22.73,2026-01-19 08:38:20
8426,Daily,18.18,2026-01-19 08:38:20
8426,Night Out,18.18,2026-01-19 08:38:20
8426,Business,18.18,2026-01-19 08:38:20
8427,Leisure,28.12,2026-01-19 08:38:20
8427,Daily,27.43,2026-01-19 08:38:20
8427,Business,20.49,2026-01-19 08:38:20
8427,Sport,18.75,2026-01-19 08:38:20
8429,Leisure,28.75,2026-01-19 08:38:20
8429,Daily,23.75,2026-01-19 08:38:20
8429,Business,20.0,2026-01-19 08:38:20
8430,Night Out,28.57,2026-01-19 08:38:20
8430,Evening,28.57,2026-01-19 08:38:20
8430,Business,21.43,2026-01-19 08:38:20
8434,Evening,35.29,2026-01-19 08:38:20
8434,Leisure,23.53,2026-01-19 08:38:20
8434,Night Out,23.53,2026-01-19 08:38:20
8436,Leisure,23.25,2026-01-19 08:38:20
8436,Daily,20.18,2026-01-19 08:38:20
8436,Evening,20.18,2026-01-19 08:38:20
8436,Night Out,18.42,2026-01-19 08:38:20
8436,Business,17.98,2026-01-19 08:38:20
8439,Night Out,31.28,2026-01-19 08:38:20
8439,Evening,31.28,2026-01-19 08:38:20
8439,Leisure,16.46,2026-01-19 08:38:20
8440,Daily,28.33,2026-01-19 08:38:20
8440,Leisure,26.67,2026-01-19 08:38:20
8440,Business,25.0,2026-01-19 08:38:20
8440,Sport,15.0,2026-01-19 08:38:20
