PERFUME_ID,GENDER,LOAD_DT
8528,Unisex,2026-01-19 08:09:16
8529,Feminine,2026-01-19 08:09:16
8532,Unisex,2026-01-19 08:09:16
8533,Unisex,2026-01-19 08:09:16
8537,Feminine,2026-01-19 08:09:16
8538,Masculine,2026-01-19 08:09:16
8539,Masculine,2026-01-19 08:09:16
8542,Feminine,2026-01-19 08:09:16
8543,Masculine,2026-01-19 08:09:16
8544,Unisex,2026-01-19 08:09:16
8546,Feminine,2026-01-19 08:09:16
8547,Feminine,2026-01-19 08:09:16
8550,Masculine,2026-01-19 08:09:16
8551,Feminine,2026-01-19 08:09:16
8555,Feminine,2026-01-19 08:09:16
8558,Feminine,2026-01-19 08:09:16
8559,Feminine,2026-01-19 08:09:16
8562,Feminine,2026-01-19 08:09:16
8563,Feminine,2026-01-19 08:09:16
8567,Feminine,2026-01-19 08:09:16
8570,Masculine,2026-01-19 08:09:16
8571,Unisex,2026-01-19 08:09:16
8576,Unisex,2026-01-19 08:09:16
8578,Feminine,2026-01-19 08:09:16
8579,Feminine,2026-01-19 08:09:16
8582,Unisex,2026-01-19 08:09:16
8584,Feminine,2026-01-19 08:09:16
8586,Unisex,2026-01-19 08:09:16
8588,Feminine,2026-01-19 08:09:16
8589,Unisex,2026-01-19 08:09:16
8590,Masculine,2026-01-19 08:09:16
8592,Feminine,2026-01-19 08:09:16
8593,Masculine,2026-01-19 08:09:16
8594,Feminine,2026-01-19 08:09:16
8596,Unisex,2026-01-19 08:09:16
8597,Masculine,2026-01-19 08:09:16
8598,Feminine,2026-01-19 08:09:16
8602,Feminine,2026-01-19 08:09:16
8610,Feminine,2026-01-19 08:09:16
8614,Feminine,2026-01-19 08:09:16
8615,Feminine,2026-01-19 08:09:16
8618,Feminine,2026-01-19 08:09:16
8619,Feminine,2026-01-19 08:09:16
8622,Feminine,2026-01-19 08:09:16
8623,Feminine,2026-01-19 08:09:16
8626,Masculine,2026-01-19 08:09:16
8627,Feminine,2026-01-19 08:09:16
8630,Feminine,2026-01-19 08:09:16
8631,Feminine,2026-01-19 08:09:16
8634,Feminine,2026-01-19 08:09:16
8635,Feminine,2026-01-19 08:09:16
8638,Feminine,2026-01-19 08:09:16
8641,Feminine,2026-01-19 08:09:16
8642,Feminine,2026-01-19 08:09:16
8645,Unisex,2026-01-19 08:09:16
8646,Feminine,2026-01-19 08:09:16
8649,Feminine,2026-01-19 08:09:16
8650,Masculine,2026-01-19 08:09:16
8653,Feminine,2026-01-19 08:09:16
8655,Masculine,2026-01-19 08:09:16
8657,Unisex,2026-01-19 08:09:16
8659,Feminine,2026-01-19 08:09:16
8661,Masculine,2026-01-19 08:09:16
8663,Feminine,2026-01-19 08:09:16
8665,Feminine,2026-01-19 08:09:16
8667,Feminine,2026-01-19 08:09:16
8669,Unisex,2026-01-19 08:09:16
8671,Feminine,2026-01-19 08:09:16
8673,Masculine,2026-01-19 08:09:16
8676,Feminine,2026-01-19 08:09:16
8677,Masculine,2026-01-19 08:09:16
8679,Feminine,2026-01-19 08:09:16
8680,Feminine,2026-01-19 08:09:16
8681,Feminine,2026-01-19 08:09:16
8683,Feminine,2026-01-19 08:09:16
8684,Feminine,2026-01-19 08:09:16
8685,Feminine,2026-01-19 08:09:16
8687,Feminine,2026-01-19 08:09:16
8689,Feminine,2026-01-19 08:09:16
8691,Masculine,2026-01-19 08:09:16
8692,Feminine,2026-01-19 08:09:16
8695,Masculine,2026-01-19 08:09:16
8696,Feminine,2026-01-19 08:09:16
8697,Feminine,2026-01-19 08:09:16
8699,Feminine,2026-01-19 08:09:16
8700,Feminine,2026-01-19 08:09:16
8701,Unisex,2026-01-19 08:09:16
8703,Unisex,2026-01-19 08:09:16
8704,Feminine,2026-01-19 08:09:16
8705,Masculine,2026-01-19 08:09:16
8707,Feminine,2026-01-19 08:09:16
8708,Feminine,2026-01-19 08:09:16
8709,Feminine,2026-01-19 08:09:16
8711,Feminine,2026-01-19 08:09:16
8712,Masculine,2026-01-19 08:09:16
8713,Masculine,2026-01-19 08:09:16
