perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link
P_08272	Enigmatic Saffiano	Hugo Boss	2024.0			{'Spicy': '3', 'Leathery': '4', 'Woody': '2', 'Fresh': '2', 'Creamy': '1', 'Floral': '1', 'Aquatic': '4'}	{'Masculine': '3', 'Feminine': '1', 'Modern': '1'}	{'Winter': '1', 'Fall': '2', 'Summer': '2', 'Spring': '2'}	{'Leisure': '3', 'Night Out': '2', 'Business': '2', 'Evening': '2'}	Marine notes, Morocco leather	Marine notes, Morocco leather	Marine notes, Morocco leather		https://media.parfumo.com/perfume_social/c0/c042b8-enigmatic-saffiano-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/enigmatic-saffiano
P_08275	Rose of No Man's Land	Byredo	2025.0	Absolu de Parfum		{'Spicy': '8', 'Sweet': '9', 'Woody': '9', 'Fruity': '5', 'Fresh': '3', 'Floral': '14'}	{'Masculine': '8', 'Feminine': '13', 'Modern': '12'}	{'Winter': '12', 'Fall': '13', 'Summer': '7', 'Spring': '13'}	{'Daily': '9', 'Leisure': '10', 'Night Out': '9', 'Business': '6', 'Evening': '11'}	Blackcurrant, Saffron, Pink pepper	Rose, Black raspberry, Peony	Patchouli, Black amber, Papyrus		https://media.parfumo.com/perfume_social/47/47536a_rose-of-no-man-s-land-absolu-de-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/rose-of-no-man-s-land-absolu-de-parfum
P_08276	Boss Intense Shimmer Edition	Hugo Boss	2004.0	Eau de Toilette	Ursula Wandel	{'Spicy': '3', 'Synthetic': '1', 'Sweet': '2', 'Woody': '4', 'Floral': '4'}	{'Feminine': '4', 'Classic': '1', 'Modern': '2'}	{'Summer': '4', 'Spring': '3'}	{'Leisure': '3', 'Night Out': '2', 'Business': '1', 'Evening': '1'}	Spices, Oxygen, Kumquat	Vanilla, Jasmine, Rose	Amber, Benzoin, Patchouli, Sandalwood, Musk		https://media.parfumo.com/perfume_social/f3/f3a12c-boss-intense-shimmer-edition-eau-de-toilette-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/Boss_Intense_Shimmer_Edition
P_08277	HTTP://WWW.BONDNO9.COM	Bond No. 9	2013.0		Michel Almairac	{'Citrus': '10', 'Spicy': '5', 'Synthetic': '8', 'Sweet': '9', 'Woody': '4', 'Green': '4', 'Fruity': '12', 'Fresh': '12'}	{'Masculine': '14', 'Feminine': '6', 'Classic': '8', 'Modern': '9'}	{'Winter': '9', 'Fall': '15', 'Summer': '14', 'Spring': '14'}	{'Daily': '10', 'Sport': '7', 'Leisure': '12', 'Night Out': '14', 'Business': '10', 'Evening': '11'}	Juniper berry, Pineapple, Yellow bergamot	Apple, Cedarwood, Blackcurrant	Musk, Moss, Amber, Patchouli		https://media.parfumo.com/perfume_social/4b/4b3e18-http-www-bondno9-com-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/httpbondno9_com
P_08280	Wild Violet	Hugo Boss	2024.0		Aurélien Guichard,Leonardo Lucheze,Takasago / 高砂	{'Spicy': '1', 'Synthetic': '1', 'Sweet': '1', 'Leathery': '1', 'Floral': '1'}	{'Masculine': '1', 'Feminine': '1'}	{'Winter': '1', 'Fall': '1'}	{'Leisure': '1', 'Night Out': '1', 'Business': '1'}	Leathery notes, Violet	Leathery notes, Violet	Leathery notes, Violet		https://media.parfumo.com/perfume_social/5c/5c77f5-wild-violet-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/wild-violet
P_08281	Chelsea Flowers	Bond No. 9	2003.0	Eau de Parfum	Laurent Le Guernec	{'Synthetic': '8', 'Sweet': '5', 'Fruity': '7', 'Fresh': '15', 'Floral': '22'}	{'Feminine': '21', 'Classic': '6', 'Modern': '14'}	{'Fall': '4', 'Summer': '20', 'Spring': '22'}	{'Daily': '17', 'Sport': '3', 'Leisure': '21', 'Night Out': '5', 'Business': '15'}	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak		https://media.parfumo.com/perfume_social/3f/3fb791-chelsea-flowers-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Chelsea_Flowers
P_08283	Elevator Music	Byredo	2018.0	Eau de Parfum		{'Spicy': '3', 'Synthetic': '6', 'Smoky': '3', 'Woody': '7', 'Green': '3', 'Fresh': '3', 'Creamy': '3', 'Floral': '4'}	{'Masculine': '8', 'Feminine': '6', 'Classic': '2', 'Modern': '4'}	{'Winter': '5', 'Fall': '7', 'Summer': '5', 'Spring': '7'}	{'Daily': '6', 'Sport': '2', 'Leisure': '7', 'Night Out': '4', 'Business': '7', 'Evening': '3'}	Bamboo, Violet	Ambrette, Jasmine	Charred wood, Amyris		https://media.parfumo.com/perfume_social/52/522d6b-elevator-music-eau-de-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Elevator_Music_Eau_de_Parfum
P_08291	Bois Obscur	Byredo	2025.0		Jérôme Epinette,Robertet	{'Spicy': '4', 'Sweet': '1', 'Smoky': '3', 'Oriental': '1', 'Woody': '5', 'Resinous': '4', 'Fruity': '1', 'Floral': '2', 'Animal': '1'}	{'Masculine': '5', 'Feminine': '1', 'Classic': '1', 'Modern': '3'}	{'Winter': '5', 'Fall': '5'}	{'Leisure': '4', 'Night Out': '5', 'Evening': '5'}	Saffron, Eucalyptus, Papyrus	Tuberose absolute, Oud, Jasmine absolute	Labdanum, Patchouli, Mineral amber, Sandalwood		https://media.parfumo.com/perfume_social/7f/7fa924_bois-obscur-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/bois-obscur
P_08294	Idle Hour	Ex Nihilo	2022.0		Jordi Fernández	{'Spicy': '1', 'Synthetic': '1', 'Sweet': '1', 'Fresh': '1'}	{'Masculine': '1', 'Classic': '1', 'Modern': '1'}	{'Fall': '1', 'Spring': '1'}	{'Business': '1', 'Evening': '1'}	Bergamot, Frankincense, Pink pepper	Cedarwood, Iris, Ylang-ylang	Akigalawood®, Musk, Tonka bean		https://media.parfumo.com/perfume_social/d7/d74287-idle-hour-ex-nihilo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ex_Nihilo/idle-hour
P_08295	Sunday Cologne	Byredo	2014.0	Eau de Cologne		{'Citrus': '8', 'Spicy': '4', 'Synthetic': '5', 'Woody': '3', 'Green': '5', 'Fresh': '8', 'Fougère': '4'}	{'Masculine': '9', 'Feminine': '4', 'Classic': '6', 'Modern': '6'}	{'Winter': '1', 'Fall': '5', 'Summer': '8', 'Spring': '7'}	{'Daily': '8', 'Sport': '4', 'Leisure': '9', 'Night Out': '2', 'Business': '8', 'Evening': '3'}	Bergamot, Star anise, Cardamom	Geranium, Frankincense, Lavender	Vetiver, Moss, Patchouli		https://media.parfumo.com/perfume_social/33/330898-sunday-cologne-eau-de-cologne-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Sunday_Cologne_Eau_de_Cologne
P_08296	Union Square	Bond No. 9	2008.0	Eau de Parfum	Stephen Nilsen	{'Spicy': '4', 'Synthetic': '15', 'Sweet': '4', 'Woody': '4', 'Green': '9', 'Fruity': '4', 'Fresh': '13', 'Floral': '20', 'Aquatic': '7'}	{'Masculine': '9', 'Feminine': '19', 'Classic': '4', 'Modern': '10'}	{'Winter': '4', 'Fall': '6', 'Summer': '18', 'Spring': '19'}	{'Daily': '16', 'Sport': '4', 'Leisure': '16', 'Night Out': '6', 'Business': '12', 'Evening': '6'}	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber		https://media.parfumo.com/perfume_social/6d/6d7dbc-union-square-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Andy_Warhol_Union_Square
P_08299	La Botte	Byredo	2016.0		Jérôme Epinette	{'Spicy': '5', 'Synthetic': '4', 'Sweet': '3', 'Powdery': '3', 'Leathery': '9', 'Woody': '8', 'Green': '4', 'Fruity': '3', 'Fresh': '3', 'Creamy': '3', 'Floral': '8', 'Animal': '3'}	{'Masculine': '9', 'Feminine': '7', 'Classic': '5', 'Modern': '5'}	{'Winter': '6', 'Fall': '7', 'Summer': '6', 'Spring': '7'}	{'Daily': '2', 'Leisure': '5', 'Night Out': '8', 'Business': '1', 'Evening': '7'}	Jasmine absolute	Civettone, Violet	Mahogany wood, Suede		https://media.parfumo.com/perfume_social/f3/f34705-la-botte-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/la-botte
P_08301	NoMad	Bond No. 9	2021.0			{'Sweet': '9', 'Oriental': '6', 'Woody': '8', 'Resinous': '3', 'Fruity': '11', 'Floral': '8'}	{'Masculine': '8', 'Feminine': '9', 'Classic': '2', 'Modern': '6'}	{'Winter': '8', 'Fall': '10', 'Summer': '4', 'Spring': '9'}	{'Daily': '3', 'Leisure': '5', 'Night Out': '11', 'Business': '4', 'Evening': '9'}	Pear, Blackcurrant, Quince	Rose, Oud, Violet leaf, Orris root	Vanilla, Amber, Sandalwood		https://media.parfumo.com/perfume_social/7d/7dd0c5-nomad-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/nomad
P_08302	Musc	Ex Nihilo	2016.0		Olivier Pescheux	{'Fresh': '2', 'Creamy': '2', 'Floral': '2'}	{'Masculine': '2', 'Feminine': '3'}	{'Winter': '2', 'Fall': '2', 'Summer': '2', 'Spring': '2'}	{'Daily': '2', 'Leisure': '2', 'Night Out': '2', 'Business': '2', 'Evening': '2'}	Madagascan clove	Freesia, Orange blossom, Rose	Cosmone, Nirvanolide®, Patchouli, Serenolide		https://media.parfumo.com/perfume_social/da/dab1b3-musc-ex-nihilo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ex_Nihilo/Sublime_Essence__Musc
P_08303	Le Gant	Byredo	2016.0		Jérôme Epinette	{'Spicy': '6', 'Synthetic': '4', 'Sweet': '6', 'Powdery': '8', 'Leathery': '9', 'Floral': '8', 'Animal': '4'}	{'Masculine': '8', 'Feminine': '9', 'Classic': '6', 'Modern': '4'}	{'Winter': '4', 'Fall': '9', 'Summer': '5', 'Spring': '7'}	{'Daily': '3', 'Leisure': '9', 'Night Out': '9', 'Business': '4', 'Evening': '8'}	Naked lady, Bergamot	Heliotrope, Mimosa	Tuscan leather, Cotton, Açaí, Amber		https://media.parfumo.com/perfume_social/5a/5a299a-le-gant-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/le-gant
P_08307	Gypsy Water	Byredo		Huile Parfum	Jérôme Epinette	{'Citrus': '3', 'Spicy': '4', 'Sweet': '4', 'Smoky': '1', 'Powdery': '1', 'Woody': '3', 'Resinous': '3', 'Gourmand': '1', 'Fresh': '2', 'Creamy': '2'}	{'Masculine': '3', 'Feminine': '6', 'Classic': '3', 'Modern': '3'}	{'Winter': '4', 'Fall': '5', 'Summer': '4', 'Spring': '6'}	{'Daily': '5', 'Sport': '1', 'Leisure': '6', 'Night Out': '1', 'Business': '4', 'Evening': '2'}	Juniper berry, Lemon, Bergamot, Pepper	Pine needle, Frankincense, Iris	Vanilla, Sandalwood, Amber		https://media.parfumo.com/perfume_social/ba/baa937-gypsy-water-huile-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Gypsy_Water_Huile_Parfum
P_08309	Hudson Yards	Bond No. 9	2014.0		Aurélien Guichard	{'Synthetic': '7', 'Sweet': '11', 'Green': '14', 'Fruity': '14', 'Fresh': '18', 'Creamy': '5', 'Floral': '20'}	{'Masculine': '5', 'Feminine': '22', 'Classic': '5', 'Modern': '9'}	{'Winter': '2', 'Fall': '5', 'Summer': '18', 'Spring': '21'}	{'Daily': '17', 'Sport': '6', 'Leisure': '18', 'Night Out': '7', 'Business': '14'}	Freesia, Lily of the valley, Pink pepper	Bulgarian rose, Peony, Lychee	Orange blossom, White musk, Iris		https://media.parfumo.com/perfume_social/6d/6dc2c7-hudson-yards-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Hudson_Yards
P_08311	Midnight Candy	Byredo	2015.0			{'Spicy': '2', 'Synthetic': '2', 'Sweet': '3', 'Powdery': '4', 'Woody': '2', 'Green': '4', 'Fresh': '3', 'Earthy': '2', 'Creamy': '2', 'Floral': '6'}	{'Masculine': '2', 'Feminine': '7', 'Classic': '1', 'Modern': '3'}	{'Winter': '3', 'Fall': '3', 'Summer': '5', 'Spring': '6'}	{'Daily': '4', 'Leisure': '5', 'Night Out': '2', 'Business': '4', 'Evening': '3'}	Iris, Carrot	Black violet, Egyptian jasmine absolute	Osmanthus, Vanilla		https://media.parfumo.com/perfume_social/4d/4d3a5d-midnight-candy-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/midnight-candy
P_08313	Off-BroadwayWest Broadway	Bond No. 9	2003.0		Robertet	{'Citrus': '14', 'Spicy': '8', 'Sweet': '5', 'Woody': '6', 'Resinous': '6', 'Green': '15', 'Fruity': '6', 'Fresh': '12', 'Floral': '13'}	{'Masculine': '17', 'Feminine': '11', 'Classic': '7', 'Modern': '9'}	{'Winter': '9', 'Fall': '12', 'Summer': '15', 'Spring': '18'}	{'Daily': '16', 'Sport': '3', 'Leisure': '18', 'Night Out': '6', 'Business': '10', 'Evening': '4'}	Blackcurrant, Grapefruit blossom	Lily, Nutmeg, Osmanthus	Musk, Patchouli, Sandalwood, Vetiver		https://media.parfumo.com/perfume_social/60/6006c0-west-broadway-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/off-broadway-west-broadway
P_08314	Bal d'Afrique	Byredo		Huile Parfum	Jérôme Epinette	{'Green': '1', 'Fruity': '3', 'Fresh': '3', 'Creamy': '2', 'Floral': '2'}	{'Masculine': '1', 'Feminine': '3', 'Modern': '1'}	{'Winter': '1', 'Fall': '1', 'Summer': '3', 'Spring': '3'}	{'Daily': '3', 'Leisure': '2', 'Night Out': '1', 'Business': '2', 'Evening': '1'}	Tagetes, Bergamot, Buchu, Lemon, Neroli	Cyclamen, Jasmine, Violet	Musk, Vetiver, Amber, Atlas cedar		https://media.parfumo.com/perfume_social/c7/c7f6c3-bal-d-afrique-huile-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Bal_d_Afrique_Huile_Parfum
P_08317	Riverside Drive	Bond No. 9	2003.0		Maurice Roucel	{'Citrus': '4', 'Spicy': '11', 'Sweet': '6', 'Woody': '12', 'Green': '14', 'Fruity': '8', 'Fresh': '11', 'Earthy': '5', 'Floral': '11'}	{'Masculine': '18', 'Feminine': '3', 'Classic': '6', 'Modern': '5'}	{'Winter': '6', 'Fall': '12', 'Summer': '13', 'Spring': '15'}	{'Daily': '13', 'Leisure': '14', 'Night Out': '5', 'Business': '12', 'Evening': '6'}	Violet, Basil, Watery fruits	Pineapple, Lily of the valley, Rose	Oakmoss, Cedarwood, Patchouli, Sandalwood		https://media.parfumo.com/perfume_social/a5/a58c98-riverside-drive-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Riverside_Drive
P_08319	Don't Get Me Wrong BabyDon't Get Me Wrong Baby, I Don't Swallow	Etat Libre D Orange	2007.0		Antoine Maisondieu	{'Synthetic': '20', 'Sweet': '16', 'Green': '8', 'Gourmand': '7', 'Fresh': '19', 'Floral': '36', 'Animal': '11'}	{'Masculine': '7', 'Feminine': '37', 'Classic': '10', 'Modern': '17'}	{'Winter': '10', 'Fall': '18', 'Summer': '22', 'Spring': '33'}	{'Daily': '28', 'Sport': '7', 'Leisure': '29', 'Night Out': '13', 'Business': '17', 'Evening': '12'}	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow		https://media.parfumo.com/perfume_social/bd/bd4c15-don-t-get-me-wrong-baby-don-t-get-me-wrong-baby-i-don-t-swallow-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/don-t-get-me-wrong-baby-i-don-t-swallow
P_08321	Nolita	Bond No. 9	2017.0			{'Citrus': '4', 'Spicy': '3', 'Sweet': '11', 'Woody': '6', 'Green': '3', 'Fruity': '10', 'Fresh': '6', 'Creamy': '4', 'Floral': '15'}	{'Feminine': '16', 'Classic': '5', 'Modern': '7'}	{'Winter': '6', 'Fall': '11', 'Summer': '8', 'Spring': '13'}	{'Daily': '10', 'Leisure': '11', 'Night Out': '14', 'Business': '8', 'Evening': '10'}	Freesia, Tangerine	Jasmine sambac, Lily, Rose	Musk, Amber, Sandalwood		https://media.parfumo.com/perfume_social/16/1644a2-nolita-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Nolita
P_08325	Central Park South	Bond No. 9	2013.0			{'Spicy': '5', 'Synthetic': '11', 'Sweet': '6', 'Powdery': '4', 'Woody': '7', 'Green': '9', 'Fruity': '8', 'Fresh': '13', 'Floral': '25'}	{'Feminine': '22', 'Classic': '10', 'Modern': '8'}	{'Winter': '6', 'Fall': '10', 'Summer': '16', 'Spring': '21'}	{'Daily': '10', 'Sport': '3', 'Leisure': '15', 'Night Out': '17', 'Business': '9', 'Evening': '16'}	Grapefruit blossom, Blackcurrant bud, Clementine, Violet leaf	Lily of the valley, Jasmine, Acacia, Jonquil, Orris root, Tuberose	Musk, Sandalwood, Benzoin, Cedarwood		https://media.parfumo.com/perfume_social/64/6420a8-central-park-south-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Central_Park_South
P_08326	Nombril Immense	Etat Libre D Orange	2006.0		Nathalie Feisthauer	{'Spicy': '29', 'Powdery': '12', 'Oriental': '9', 'Woody': '21', 'Resinous': '11', 'Green': '11', 'Earthy': '26', 'Animal': '11'}	{'Masculine': '31', 'Feminine': '28', 'Classic': '9', 'Modern': '12'}	{'Winter': '26', 'Fall': '33', 'Summer': '17', 'Spring': '31'}	{'Daily': '26', 'Leisure': '31', 'Night Out': '18', 'Business': '18', 'Evening': '22'}	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam	Patchouli, Bergamot, Vetiver, Amber, Carrot seed, Opoponax, Pepper, Peru balsam		https://media.parfumo.com/perfume_social/04/04480d-nombril-immense-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Nombril_Immense
P_08329	Central Park	Bond No. 9	2004.0		Robertet	{'Citrus': '14', 'Spicy': '7', 'Synthetic': '5', 'Woody': '10', 'Green': '23', 'Fresh': '23', 'Floral': '8'}	{'Masculine': '21', 'Feminine': '14', 'Classic': '2', 'Modern': '2'}	{'Winter': '3', 'Fall': '6', 'Summer': '20', 'Spring': '22'}	{'Daily': '18', 'Sport': '5', 'Leisure': '21', 'Night Out': '4', 'Business': '16', 'Evening': '4'}	Vervain, Basil	Lily of the valley, Water jasmine	Kashmiri musk, Blue atlas cedar, Patchouli		https://media.parfumo.com/perfume_social/d3/d3869d-central-park-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Central_Park
P_08331	Heliotropia	Byredo	2016.0			{'Spicy': '3', 'Sweet': '2', 'Powdery': '1', 'Oriental': '1', 'Woody': '2', 'Fruity': '1', 'Creamy': '1', 'Floral': '3'}	{'Masculine': '2', 'Feminine': '4'}	{'Winter': '2', 'Fall': '2', 'Spring': '2'}	{'Daily': '1', 'Leisure': '2', 'Night Out': '2', 'Evening': '2'}	Gardenia, Somalian frankincense	Heliotrope, Jasmine sambac	Oud, Silver birch		https://media.parfumo.com/perfume_social/27/273960-heliotropia-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Heliotropia
P_08334	Encens et Bubblegum	Etat Libre D Orange	2006.0		Antoine Maisondieu	{'Spicy': '5', 'Synthetic': '17', 'Sweet': '15', 'Smoky': '13', 'Powdery': '5', 'Woody': '5', 'Resinous': '5', 'Fruity': '17', 'Floral': '14', 'Animal': '5'}	{'Masculine': '13', 'Feminine': '25', 'Classic': '6', 'Modern': '16'}	{'Winter': '12', 'Fall': '19', 'Summer': '12', 'Spring': '23'}	{'Daily': '10', 'Leisure': '22', 'Night Out': '13', 'Business': '6', 'Evening': '14'}	Peach, Raspberry	Orange blossom, Lily of the valley	Frankincense, Vanilla, Musk		https://media.parfumo.com/perfume_social/44/440991-encens-et-bubblegum-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Encens__Bubblegum
P_08335	Blanche	Byredo	2015.0	Hair Perfume		{'Citrus': '1', 'Green': '1', 'Fresh': '1', 'Floral': '1'}	{'Feminine': '1', 'Classic': '1'}	{'Summer': '1', 'Spring': '1'}	{'Daily': '1', 'Leisure': '1', 'Business': '1'}	Aldehydes, Rosa centifolia	Peony, Violet	Musk, Sandalwood		https://media.parfumo.com/perfume_social/c2/c2a113-blanche-hair-perfume-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Blanche_Hair_Perfume
P_08337	I Love New York for Holidays	Bond No. 9	2013.0			{'Spicy': '16', 'Synthetic': '8', 'Sweet': '13', 'Leathery': '10', 'Woody': '4', 'Gourmand': '11', 'Fruity': '16', 'Creamy': '4'}	{'Masculine': '10', 'Feminine': '17', 'Classic': '8', 'Modern': '11'}	{'Winter': '15', 'Fall': '16', 'Summer': '10', 'Spring': '11'}	{'Daily': '13', 'Leisure': '16', 'Night Out': '11', 'Business': '10', 'Evening': '11'}	Pomegranate, Apricot, Mandarin orange	Freesia, Fennel, Nutmeg	Praliné, Patchouli, Leather, Musk		https://media.parfumo.com/perfume_social/7f/7f46a5-i-love-new-york-for-holidays-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/I_Love_New_York_for_Holidays
P_08338	Antihéros	Etat Libre D Orange	2006.0		Antoine Maisondieu	{'Spicy': '11', 'Powdery': '6', 'Woody': '17', 'Green': '13', 'Fresh': '16', 'Fougère': '5', 'Floral': '15', 'Animal': '5'}	{'Masculine': '23', 'Feminine': '15', 'Classic': '11', 'Modern': '9'}	{'Winter': '12', 'Fall': '21', 'Summer': '15', 'Spring': '19'}	{'Daily': '18', 'Sport': '6', 'Leisure': '18', 'Night Out': '6', 'Business': '15', 'Evening': '7'}	Lavender	Cedarwood	Musk		https://media.parfumo.com/perfume_social/7e/7e8dcb-antiheros-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Antiheros
P_08339	Deep Viola	Byredo	2020.0			{'Citrus': '1', 'Spicy': '4', 'Sweet': '1', 'Smoky': '1', 'Powdery': '3', 'Leathery': '2', 'Woody': '4', 'Resinous': '2', 'Fruity': '1', 'Fresh': '1', 'Earthy': '1', 'Floral': '2'}	{'Masculine': '3', 'Feminine': '1', 'Classic': '1', 'Modern': '3'}	{'Winter': '3', 'Fall': '4', 'Summer': '3', 'Spring': '3'}	{'Daily': '1', 'Sport': '1', 'Leisure': '1', 'Night Out': '3', 'Business': '2', 'Evening': '3'}	Angelica seed, Bergamot, Saffron	Iris, Leather, Violet	Frankincense, Oud, Vanilla		https://media.parfumo.com/perfume_social/23/239e30-deep-viola-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/deep-viola
P_08341	Gold Coast	Bond No. 9	2019.0		Michel Almairac	{'Synthetic': '5', 'Sweet': '11', 'Fruity': '16', 'Fresh': '20', 'Floral': '19', 'Aquatic': '12'}	{'Masculine': '6', 'Feminine': '23', 'Classic': '10', 'Modern': '14'}	{'Winter': '6', 'Fall': '6', 'Summer': '17', 'Spring': '19'}	{'Daily': '16', 'Leisure': '20', 'Night Out': '10', 'Business': '17', 'Evening': '5'}	Apricot, Lychee, Red apple	Rose, Rose absolute, Watermelon	Cedarwood, Musk, Vanilla		https://media.parfumo.com/perfume_social/26/26e1af-gold-coast-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/gold-coast
P_08344	Bendelirious	Etat Libre D Orange	2008.0		Antoine Lie	{'Synthetic': '8', 'Sweet': '16', 'Leathery': '14', 'Gourmand': '5', 'Fruity': '21', 'Fresh': '5', 'Floral': '19'}	{'Masculine': '8', 'Feminine': '24', 'Classic': '3', 'Modern': '10'}	{'Winter': '9', 'Fall': '15', 'Summer': '13', 'Spring': '21'}	{'Daily': '15', 'Leisure': '15', 'Night Out': '13', 'Business': '10', 'Evening': '10'}	Champagne, Grapefruit, Cherry candy	Orris absolute, Orris butter, Violet leaf absolute	Leather, Tonka bean absolute, Musk, Vetiver		https://media.parfumo.com/perfume_social/38/38645c-bendelirious-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/Bendelirious
P_08348	Mojave Ghost	Byredo	2016.0	Hair Perfume		{'Sweet': '1', 'Fruity': '1', 'Fresh': '1', 'Floral': '1'}	{'Feminine': '1', 'Modern': '1'}	{'Summer': '1', 'Spring': '1'}	{'Daily': '1', 'Sport': '1', 'Leisure': '1', 'Business': '1'}	Sapote, Ambrette	Violet, Sandalwood, Magnolia	Musk, Amber, Cedarwood		https://media.parfumo.com/perfume_social/f8/f85b92-mojave-ghost-hair-perfume-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Mojave_Ghost_Hair_Perfume
P_08351	I Love New York for Him	Bond No. 9	2011.0			{'Citrus': '6', 'Spicy': '3', 'Synthetic': '8', 'Woody': '5', 'Fresh': '10', 'Floral': '3', 'Aquatic': '8'}	{'Masculine': '11', 'Feminine': '1', 'Classic': '2', 'Modern': '3'}	{'Fall': '4', 'Summer': '11', 'Spring': '11'}	{'Daily': '9', 'Sport': '6', 'Leisure': '10', 'Night Out': '3', 'Business': '10', 'Evening': '5'}	Juniper berry, Ginger, Grapefruit zest	Geranium, Lavender, Leather, Patchouli	Labdanum, Amber, Musk, Sandalwood		https://media.parfumo.com/perfume_social/b0/b0b7a1-i-love-new-york-for-him-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/I_Love_New_York_for_Him
