perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link
P_13749	Oudrising	Montale	2020.0			{'Spicy': '16', 'Smoky': '21', 'Oriental': '17', 'Leathery': '18', 'Woody': '19', 'Resinous': '8', 'Earthy': '7', 'Animal': '8'}	{'Masculine': '21', 'Feminine': '6', 'Classic': '15', 'Modern': '5'}	{'Winter': '22', 'Fall': '22', 'Summer': '3', 'Spring': '11'}	{'Daily': '9', 'Leisure': '12', 'Night Out': '17', 'Business': '8', 'Evening': '18'}	Leather, Pink grapefruit, Bergamot, Pepper	Patchouli, Jasmine, Labdanum, Oud, Rose, Black tea, Smoked wood	Musk, Frankincense, Vanilla, Amber, Cedarwood, Sandalwood, Tobacco		https://media.parfumo.com/perfume_social/08/085501-oudrising-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/oudrising
P_13750	Paris Pont des Amours	Yves Saint Laurent	2008.0			{'Sweet': '3', 'Powdery': '4', 'Green': '4', 'Fresh': '5', 'Floral': '6', 'Aquatic': '2'}	{'Feminine': '5', 'Classic': '2', 'Modern': '2'}	{'Winter': '1', 'Fall': '6', 'Summer': '4', 'Spring': '6'}	{'Daily': '6', 'Sport': '1', 'Leisure': '6', 'Night Out': '3', 'Business': '4', 'Evening': '4'}	Rose, Orange blossom, Violet	May rose, Jasmine, Carnation	Musk, Sandalwood		https://media.parfumo.com/perfume_social/4d/4dfcb0-paris-pont-des-amours-yves-saint-laurent_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Paris_Pont_des_Amours
P_13751	Subtil pour Homme	Salvatore Ferragamo	2003.0	Eau de Toilette		{'Citrus': '2', 'Spicy': '2', 'Synthetic': '2', 'Sweet': '2', 'Woody': '5', 'Fruity': '4', 'Fresh': '7', 'Earthy': '4', 'Floral': '4', 'Aquatic': '2'}	{'Masculine': '7', 'Classic': '4', 'Modern': '4'}	{'Winter': '2', 'Fall': '5', 'Summer': '7', 'Spring': '5'}	{'Daily': '6', 'Leisure': '6', 'Night Out': '4', 'Business': '3', 'Evening': '5'}	Cardamom, Ginger, Lotus, Mandarin orange	Coriander, Rose, Violet	Amber, Musk, Patchouli		https://media.parfumo.com/perfume_social/23/23f2e0-subtil-pour-homme-eau-de-toilette-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/Subtil_pour_Homme_Eau_de_Toilette
P_13754	Paris Eau de Printemps 2002	Yves Saint Laurent	2002.0			{'Citrus': '4', 'Sweet': '1', 'Woody': '1', 'Green': '4', 'Fruity': '1', 'Fresh': '4', 'Floral': '4'}	{'Feminine': '4', 'Classic': '4', 'Modern': '4'}	{'Fall': '1', 'Summer': '4', 'Spring': '4'}	{'Daily': '4', 'Sport': '1', 'Leisure': '4', 'Night Out': '1', 'Business': '2', 'Evening': '1'}	Bergamot, Geranium, Hawthorn, Hyacinth	Lily, Mimosa, Orange blossom, Rose, Violet	Musk, Sandalwood, Vetiver		https://media.parfumo.com/perfume_social/cc/cc8aa6-paris-eau-de-printemps-2002-yves-saint-laurent_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Paris_Eau_de_Printemps
P_13755	La Commedia	Salvatore Ferragamo	2018.0	Eau de Parfum	Nathalie Gracia-Cetto	{'Citrus': '6', 'Spicy': '7', 'Sweet': '7', 'Leathery': '3', 'Woody': '4', 'Earthy': '2'}	{'Masculine': '7', 'Feminine': '2', 'Classic': '2', 'Modern': '4'}	{'Winter': '6', 'Fall': '6', 'Summer': '2', 'Spring': '5'}	{'Daily': '5', 'Leisure': '4', 'Night Out': '6', 'Business': '2', 'Evening': '7'}	Bitter orange zest, Cardamom, Grapefruit	Akigalawood®, Chili, Nutmeg	Amberwood, Leather, Tonka bean, Vetiver		https://media.parfumo.com/perfume_social/5c/5cd59b-tuscan-creations-la-commedia-eau-de-parfum-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/la-commedia-eau-de-parfum
P_13757	Mango Manga	Montale	2005.0			{'Citrus': '6', 'Synthetic': '22', 'Sweet': '26', 'Gourmand': '10', 'Fruity': '26', 'Floral': '15'}	{'Masculine': '6', 'Feminine': '31', 'Classic': '8', 'Modern': '19'}	{'Winter': '8', 'Fall': '14', 'Summer': '20', 'Spring': '23'}	{'Daily': '11', 'Leisure': '25', 'Night Out': '11', 'Business': '11', 'Evening': '9'}	Mango, Orange	Jasmine sambac, Calabrian neroli	Vetiver, Oakmoss, Cedar		https://media.parfumo.com/perfume_social/6f/6fc15f-mango-manga-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/Mango_Manga
P_13758	Kouros Eau de Toilette Tonique 2011	Yves Saint Laurent	2011.0			{'Citrus': '6', 'Spicy': '7', 'Smoky': '3', 'Leathery': '2', 'Woody': '4', 'Green': '4', 'Fresh': '7', 'Floral': '3', 'Aquatic': '6', 'Animal': '3'}	{'Masculine': '8', 'Feminine': '1', 'Classic': '4', 'Modern': '4'}	{'Winter': '1', 'Fall': '5', 'Summer': '8', 'Spring': '8'}	{'Daily': '7', 'Leisure': '8', 'Night Out': '4', 'Business': '7', 'Evening': '5'}	Bergamot, Lemon	Marine notes	Frankincense, Patchouli, Woody notes		https://media.parfumo.com/perfume_social/5d/5d717b-kouros-eau-de-toilette-tonique-2011-yves-saint-laurent_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Kouros_Eau_de_Toilette_Tonique_2011
P_13759	Convivio	Salvatore Ferragamo	2013.0	Eau de Toilette	Fabrice Pellegrin	{'Citrus': '7', 'Spicy': '2', 'Woody': '7', 'Green': '3', 'Fresh': '6', 'Floral': '3'}	{'Masculine': '7', 'Feminine': '6', 'Classic': '3', 'Modern': '5'}	{'Winter': '2', 'Fall': '2', 'Summer': '7', 'Spring': '6'}	{'Daily': '7', 'Sport': '3', 'Leisure': '8', 'Night Out': '2', 'Business': '7', 'Evening': '3'}	Grapefruit, Carrot seed, Italian bergamot	Jasmine, Amaranth wood, Cypress wood	Ambroxan, Cashmere wood, Frankincense		https://media.parfumo.com/perfume_social/d5/d5686d-tuscan-soul-convivio-eau-de-toilette-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/convivio-eau-de-toilette
P_13761	Chypré Vanillé	Montale	2006.0			{'Spicy': '26', 'Sweet': '29', 'Powdery': '23', 'Oriental': '17', 'Woody': '15', 'Chypre': '33', 'Floral': '33'}	{'Masculine': '27', 'Feminine': '43', 'Classic': '17', 'Modern': '10'}	{'Winter': '41', 'Fall': '42', 'Summer': '13', 'Spring': '25'}	{'Daily': '17', 'Leisure': '24', 'Night Out': '39', 'Business': '20', 'Evening': '40'}	Vanilla, Tibetan cistus, Vetiver, Frankincense, Tonka bean, Amber, Sandalwood	Vanilla, Tibetan cistus, Vetiver, Frankincense, Tonka bean, Amber, Sandalwood	Vanilla, Tibetan cistus, Vetiver, Frankincense, Tonka bean, Amber, Sandalwood		https://media.parfumo.com/perfume_social/8b/8ba764-chypre-vanille-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/Chypre_Vanille
P_13762	Kouros Eau de Toilette Tonique 2008	Yves Saint Laurent	2008.0			{'Citrus': '7', 'Spicy': '7', 'Woody': '7', 'Fresh': '7', 'Animal': '4'}	{'Masculine': '7', 'Feminine': '1', 'Classic': '5', 'Modern': '3'}	{'Fall': '6', 'Summer': '7', 'Spring': '7'}	{'Daily': '3', 'Sport': '2', 'Leisure': '7', 'Night Out': '4', 'Business': '3', 'Evening': '4'}	Amber, Bergamot, Mandarin orange, Marine notes, Ozone, Woods	Amber, Bergamot, Mandarin orange, Marine notes, Ozone, Woods	Amber, Bergamot, Mandarin orange, Marine notes, Ozone, Woods		https://media.parfumo.com/perfume_social/42/42162f-kouros-eau-de-toilette-tonique-2008-yves-saint-laurent_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Kouros_Eau_de_Toilette_Tonique_2008
P_13763	Attimo L'Eau Florale	Salvatore Ferragamo	2011.0		Jean-Pierre Béthouart,Annick Ménardo	{'Spicy': '3', 'Sweet': '8', 'Woody': '4', 'Fruity': '15', 'Fresh': '16', 'Floral': '13', 'Aquatic': '3'}	{'Feminine': '16', 'Classic': '5', 'Modern': '9'}	{'Winter': '2', 'Fall': '8', 'Summer': '15', 'Spring': '14'}	{'Daily': '15', 'Leisure': '15', 'Business': '15'}	Lotus, Kumquat, Nashi pear	Jasmine, Peony, Rose	Frangipani, Musk, Patchouli		https://media.parfumo.com/perfume_social/2a/2aa63b-attimo-l-eau-florale-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/Attimo_L_Eau_Florale
P_13765	Aoud Greedy	Montale	2013.0			{'Citrus': '12', 'Spicy': '29', 'Synthetic': '12', 'Sweet': '30', 'Oriental': '19', 'Woody': '30', 'Resinous': '9', 'Gourmand': '19', 'Floral': '15'}	{'Masculine': '33', 'Feminine': '30', 'Classic': '17', 'Modern': '23'}	{'Winter': '32', 'Fall': '38', 'Summer': '12', 'Spring': '18'}	{'Daily': '16', 'Leisure': '30', 'Night Out': '31', 'Business': '14', 'Evening': '30'}	Gourmand notes, Liquorice, Patchouli, Amber, White musk, Vetiver	Gourmand notes, Liquorice, Patchouli, Amber, White musk, Vetiver	Gourmand notes, Liquorice, Patchouli, Amber, White musk, Vetiver		https://media.parfumo.com/perfume_social/e1/e197c7-aoud-greedy-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/Aoud_Greedy
P_13767	F by Ferragamo	Salvatore Ferragamo	2006.0		Francis Kurkdjian	{'Synthetic': '3', 'Sweet': '9', 'Powdery': '4', 'Gourmand': '3', 'Fruity': '10', 'Fresh': '4', 'Floral': '10'}	{'Feminine': '10', 'Classic': '4', 'Modern': '4'}	{'Winter': '6', 'Fall': '10', 'Summer': '4', 'Spring': '9'}	{'Daily': '7', 'Leisure': '7', 'Night Out': '9', 'Business': '5', 'Evening': '9'}	Jasmine	Rose	Orange blossom		https://media.parfumo.com/perfume_social/ba/baeb62-f-by-ferragamo-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/F_by_Ferragamo
P_13769	Fantastic Oud	Montale	2018.0			{'Spicy': '23', 'Sweet': '12', 'Smoky': '19', 'Oriental': '18', 'Leathery': '13', 'Woody': '23', 'Resinous': '24', 'Earthy': '9', 'Floral': '7'}	{'Masculine': '30', 'Feminine': '14', 'Classic': '9', 'Modern': '11'}	{'Winter': '25', 'Fall': '28', 'Summer': '7', 'Spring': '18'}	{'Daily': '11', 'Leisure': '20', 'Night Out': '25', 'Business': '10', 'Evening': '23'}	Oud, Leather, Tobacco, Ambergris, Rose, Patchouli, Sandalwood, Styrax, Frankincense	Oud, Leather, Tobacco, Ambergris, Rose, Patchouli, Sandalwood, Styrax, Frankincense	Oud, Leather, Tobacco, Ambergris, Rose, Patchouli, Sandalwood, Styrax, Frankincense		https://media.parfumo.com/perfume_social/33/331e58-fantastic-oud-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/Fantastic_Oud
P_13770	Paris Premières Roses 2014	Yves Saint Laurent	2014.0		Dominique Ropion	{'Citrus': '1', 'Sweet': '3', 'Smoky': '1', 'Powdery': '3', 'Woody': '4', 'Fruity': '1', 'Fresh': '1', 'Floral': '4'}	{'Feminine': '4', 'Classic': '3', 'Modern': '4'}	{'Winter': '1', 'Fall': '1', 'Summer': '3', 'Spring': '3'}	{'Daily': '4', 'Sport': '1', 'Leisure': '4', 'Night Out': '2', 'Business': '1', 'Evening': '2'}	Neroli, Rose hip, Violet	Lily of the valley, Damask rose, Peony	Rose, Sandalwood, White musk		https://media.parfumo.com/perfume_social/2c/2c0a3f-paris-premieres-roses-2014-yves-saint-laurent_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Paris_Premieres_Roses_2014
P_13771	Punta Ala	Salvatore Ferragamo	2014.0	Eau de Toilette	Alberto Morillas	{'Citrus': '5', 'Spicy': '5', 'Synthetic': '3', 'Sweet': '3', 'Woody': '10', 'Green': '3', 'Fruity': '3', 'Fresh': '8', 'Floral': '3', 'Aquatic': '8'}	{'Masculine': '10', 'Feminine': '9', 'Classic': '4', 'Modern': '5'}	{'Fall': '1', 'Summer': '8', 'Spring': '9'}	{'Daily': '6', 'Sport': '4', 'Leisure': '8', 'Night Out': '2', 'Business': '7', 'Evening': '3'}	Lemon, Mandarin orange, Bergamot, Neroli	Jasmine, Olive leaf, Paradisone®	Crystal musk, Patchouli, Vetiver, Cedarwood		https://media.parfumo.com/perfume_social/34/3406fa-tuscan-soul-punta-ala-eau-de-toilette-salvatore-ferragamo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/punta-ala-eau-de-toilette
P_13773	Boisé Fruité	Montale	2009.0			{'Citrus': '17', 'Spicy': '21', 'Synthetic': '11', 'Woody': '29', 'Green': '9', 'Fruity': '31', 'Fresh': '23', 'Floral': '9'}	{'Masculine': '35', 'Feminine': '34', 'Classic': '10', 'Modern': '14'}	{'Winter': '15', 'Fall': '32', 'Summer': '25', 'Spring': '32'}	{'Daily': '21', 'Sport': '8', 'Leisure': '27', 'Night Out': '16', 'Business': '18', 'Evening': '18'}	Italian bergamot, Lime, Mandarin orange leaf	Violet leaf	Java vetiver, Mysore sandalwood		https://media.parfumo.com/perfume_social/6d/6d5321-boise-fruite-montale_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Montale/Brown_Collection_Boise_Fruite
